# Baris yang BERBEDA diletakkan di atas. Isi 'resolved_verdict'
# setelah diskusi. Laporkan kappa PRA-diskusi di paper.
#
row_id,signature,technique_id,verdict_1,verdict_2,agree,notes_2,resolved_verdict,resolution_note
M033,explorer_http,T1055,overbroad,correct,NO,,,
M000,enumerates_running_processes,T1057,correct,overbroad,NO,,,
M011,createtoolhelp32snapshot_module_enumeration,T1057,correct,overbroad,NO,,,
M013,process_needed,T1057,overbroad,correct,NO,,,
M012,injection_network_traffic,T1071,overbroad,correct,NO,,,
M028,windows_defender_powershell,T1089,correct,overbroad,NO,,,
M001,process_creation_suspicious_location,T1106,incorrect,overbroad,NO,,,
M036,registry_credential_store_access,T1003,correct,correct,yes,,,
M020,infostealer_mail,T1003,incorrect,incorrect,yes,,,
M010,infostealer_browser,T1003,incorrect,incorrect,yes,,,
M009,infostealer_browser,T1005,overbroad,overbroad,yes,,,
M045,infostealer_ftp,T1005,overbroad,overbroad,yes,,,
M022,infostealer_mail,T1005,overbroad,overbroad,yes,,,
M034,antivm_generic_bios,T1012,overbroad,overbroad,yes,,,
M030,recon_programs,T1012,overbroad,overbroad,yes,,,
M042,antivm_vbox_keys,T1012,overbroad,overbroad,yes,,,
M053,direct_hdd_access,T1014,overbroad,overbroad,yes,,,
M041,physical_drive_access,T1014,overbroad,overbroad,yes,,,
M005,encrypts_pcinfo,T1022,overbroad,overbroad,yes,,,
M038,bypass_firewall,T1031,incorrect,incorrect,yes,,,
M047,modify_security_center_warnings,T1031,incorrect,incorrect,yes,,,
M051,masquerade_process_name,T1036,correct,correct,yes,,,
M024,explorer_http,T1036,incorrect,incorrect,yes,,,
M032,packer_upx,T1045,correct,correct,yes,,,
M003,packer_unknown_pe_section_name,T1045,correct,correct,yes,,,
M002,packer_entropy,T1045,correct,correct,yes,,,
M015,uses_windows_utilities_to_create_scheduled_task,T1053,correct,correct,yes,,,
M014,persistence_autorun_tasks,T1053,correct,correct,yes,,,
M025,InjectionCreateRemoteThread,T1055,correct,correct,yes,,,
M004,InjectionInterProcess,T1055,correct,correct,yes,,,
M007,persistence_autorun,T1060,correct,correct,yes,,,
M023,antianalysis_detectfile,T1063,overbroad,overbroad,yes,,,
M031,antisandbox_sboxie_mutex,T1063,overbroad,overbroad,yes,,,
M050,antiav_detectfile,T1063,correct,correct,yes,,,
M052,direct_hdd_access,T1067,overbroad,overbroad,yes,,,
M056,suspicious_ioctl_scsipassthough,T1067,overbroad,overbroad,yes,,,
M040,physical_drive_access,T1067,overbroad,overbroad,yes,,,
M037,multiple_useragents,T1071,overbroad,overbroad,yes,,,
M044,infostealer_ftp,T1081,unclear,unclear,yes,,,
M008,infostealer_browser,T1081,unclear,unclear,yes,,,
M021,infostealer_mail,T1081,unclear,unclear,yes,,,
M029,recon_programs,T1082,correct,correct,yes,,,
M055,antivm_vmware_files,T1083,overbroad,overbroad,yes,,,
M049,antivm_vbox_files,T1083,overbroad,overbroad,yes,,,
M017,antidbg_devices,T1083,unclear,unclear,yes,,,
M018,antisandbox_unhook,T1089,overbroad,overbroad,yes,,,
M019,disables_windows_defender,T1089,correct,correct,yes,,,
M039,persistence_ads,T1096,correct,correct,yes,,,
M016,pe_compile_timestomping,T1099,correct,correct,yes,,,
M046,creates_largekey,T1112,overbroad,overbroad,yes,,,
M035,persistence_registry_script,T1112,overbroad,overbroad,yes,,,
M054,modifies_certs,T1112,overbroad,overbroad,yes,,,
M026,spawns_dev_util,T1118,correct,correct,yes,,,
M027,spawns_dev_util,T1127,correct,correct,yes,,,
M006,dropper,T1129,incorrect,incorrect,yes,,,
M048,ransomware_file_modifications,T1486,correct,correct,yes,,,
M057,ransomware_files,T1486,correct,correct,yes,,,
M043,mass_data_encryption,T1486,correct,correct,yes,,,
